Unnamed: 0,image,crop_id,particle_id,X,Y,radius_px,radius_um,overlapping,filtered,BF_px,BF_mean,BF_mean_filt,BF_sd,BF_min,BF_max,ACTB_px,ACTB_mean,ACTB_mean_filt,ACTB_sd,ACTB_min,ACTB_max,PTPRC_px,PTPRC_mean,PTPRC_mean_filt,PTPRC_sd,PTPRC_min,PTPRC_max,YAP_px,YAP_mean,YAP_mean_filt,YAP_sd,YAP_min,YAP_max,class
28,0,28,28,327,895,67,67.0,False,True,14071.0,36402.35512756734,36148.840045538636,6321.463518512038,8179.0,65535.0,14071.0,5.09416530452704,4.0,4.925586775852652,1.0,44.0,14071.0,2.275104825527681,2.275104825527681,0.8295956401689683,1.0,7.0,14071.0,3.517091891123588,3.0,2.0658211544459864,0.0,17.0,Empty
29,0,29,29,1044,183,62,62.0,False,True,12059.0,37471.45476407663,37595.71325016858,7391.9748248085925,0.0,65535.0,12059.0,3.843519363131272,4.0,1.1949711166669221,1.0,8.0,12059.0,2.295215191972801,2.295215191972801,0.7838358880802008,1.0,6.0,12059.0,3.0525748403681896,3.0,0.9562390893773822,1.0,7.0,Empty
30,0,30,30,1051,435,62,62.0,False,True,12059.0,38159.02379965172,38464.24957813027,7897.307614593292,0.0,65535.0,12058.999999999998,40.831246372004316,43.118106227727814,19.846729200361608,1.0,134.0,12059.0,33.452193382535874,35.90533936651584,16.99976631763077,0.0,125.0,12059.0,7.425159631810267,6.9606616905386325,3.5061838275489228,1.0,27.0,Nucleus
31,0,31,31,1528,222,60,60.0,False,True,11287.0,36710.064498981126,36747.76448294532,7682.571340956191,0.0,65535.0,11287.0,38.5625941348454,38.59921816827997,22.377713775614186,2.0,171.0,11287.0,4.939487906441038,3.0,10.777301709923789,1.0,124.0,11287.0,23.34269513599716,24.063463819691574,12.054123444639275,1.0,92.0,Nucleus
32,0,32,32,1152,253,67,67.0,False,True,14071.0,38183.59683036032,37783.16528323868,6428.4565567094605,0.0,65535.0,14071.0,4.303176746499894,4.0,1.2719439916817767,1.0,10.0,14071.000000000002,2.089261601876199,2.089261601876199,0.7948508614699341,1.0,6.0,14071.0,2.9849335512756734,3.0,1.0448273186083707,0.0,7.0,Empty
33,0,33,33,948,106,61,61.0,False,True,11679.0,36508.406284784665,36929.08202111092,7470.152713859729,0.0,65535.0,11678.999999999998,4.078260125010703,4.0,1.1726713081231674,1.0,9.0,11678.999999999998,2.1875160544567174,2.1875160544567174,0.7920823537158576,1.0,6.0,11679.0,3.198304649370665,3.0,1.0879126514371824,1.0,8.0,Empty
34,0,34,34,924,240,61,61.0,False,True,11679.0,37152.23332477096,37003.76398814712,6775.044785394071,0.0,65535.0,11679.0,3.330507748951109,3.330507748951109,1.058776153466817,1.0,8.0,11679.0,2.249593287096498,2.249593287096498,0.7968296827381316,1.0,6.0,11679.0,2.824899392071239,2.824899392071239,0.9558683628774788,1.0,7.0,Empty
35,0,35,35,591,501,62,62.0,False,True,12059.0,36075.07421842608,36093.90517968618,6192.001952183958,0.0,65535.0,12059.0,2.9972634546811516,3.0,1.0701767097381079,1.0,9.0,12059.0,2.1770461895679576,2.1770461895679576,0.7927759904695428,1.0,6.0,12059.0,2.6926776681316857,2.6926776681316857,0.9586813128969508,1.0,7.0,Empty
36,0,36,36,511,292,61,61.0,False,True,11679.0,35449.5932870965,35714.951134380455,6441.656363044829,0.0,65535.0,11679.0,3.3519136912406884,3.3519136912406884,1.0603678893230022,1.0,8.0,11679.0,1.9715729086394385,1.9715729086394385,0.7698934135854397,1.0,7.0,11679.0,2.8921140508605188,2.8921140508605188,0.9864248411809864,1.0,8.0,Empty
37,0,37,37,1155,124,62,62.0,False,True,12059.0,36820.74915001244,37117.89140950792,7350.810421335666,0.0,65535.0,12059.0,4.582718301683389,4.582718301683389,1.3152999553237157,1.0,9.0,12059.000000000002,2.2249771954556756,2.2249771954556756,0.7874037819786917,1.0,5.0,12059.0,3.2438013102247285,3.0,1.103531265752666,1.0,8.0,Empty
